OBJECTID,COM_116_simple,CODES_116,ID1_INSIDE,Name_INSIDE,AgeAve_2011,DepYouth_2011,DepOld_2011,DepRate_2011,Surf_km2,Inhab_2001,Inhab_2011,Inhab_km2_2001,Inhab_km2_2011,Inhab_Ch_01_11,Inhab_ratio100_01_11,Luxemburgers_2011,Foreigners_2011,Luxemburgers_sh_2011,Foreigners_sh_2011,Foreigners_2001,Foreign_Evol01_11,HomeOwners_sh_2011,FreeHome_sh_2011,Renters_sh_2011,Sqm_household_2011,HouseholdSize_Ave_2011,Sqm_inhab_2011,
1,Bascharage,110101,86,Bascharage,40.6,24.7,25.5,50.2,19.14,6590,7495,344.3,391.6,905,113.7,5406,2089,0.7213,0.2787,1652,1.2645,0.7850,0.0193,0.1957,134.96,2.50,65.20,
2,Tandel,120804,46,Tandel,37.0,27.4,17.1,44.5,41.72,1418,1702,34.0,40.8,284,120.0,1306,396,0.7673,0.2327,268,1.4776,0.8300,0.0264,0.1436,159.93,2.76,72.27,
3,Beaufort,131001,3,Beaufort,34.2,35.1,13.6,48.7,13.74,1551,2254,112.9,164.0,703,145.3,1281,973,0.5683,0.4317,591,1.6464,0.7506,0.0331,0.2163,133.16,2.79,59.95,
4,Bech,131002,35,Bech,38.8,28.4,20.3,48.7,23.31,946,1078,40.6,46.2,132,114.0,824,254,0.7644,0.2356,212,1.1981,0.8644,0.0198,0.1158,181.23,2.80,75.05,
5,Beckerich,120701,59,Beckerich,37.6,26.9,18.2,45.0,28.41,2071,2293,72.9,80.7,222,110.7,1669,624,0.7279,0.2721,562,1.1103,0.8280,0.0218,0.1502,160.69,2.90,67.32,
6,Berdorf,131003,1,Berdorf,35.4,37.6,17.9,55.5,21.93,1304,1696,59.5,77.3,392,130.1,1010,686,0.5955,0.4045,513,1.3372,0.6895,0.1368,0.1738,136.69,2.94,58.61,
7,Colmar_Berg,110401,89,Colmar-Berg,36.5,24.5,15.3,39.8,12.31,1711,1919,139.0,155.9,208,112.2,1167,752,0.6081,0.3919,591,1.2724,0.6745,0.0210,0.3045,120.56,2.48,61.03,
8,Bertrange,110302,52,Bertrange,40.0,27.2,24.0,51.2,17.39,5514,6213,317.1,357.3,699,112.7,3240,2973,0.5215,0.4785,2438,1.2194,0.6699,0.0307,0.2994,148.79,2.53,72.39,
9,Preizerdaul,120704,50,Préizerdaul,37.8,27.2,16.3,43.5,15.6,1244,1392,79.7,89.2,148,111.9,1123,269,0.8068,0.1932,200,1.3450,0.8443,0.0225,0.1332,162.15,2.82,69.32,
10,Bettembourg,110201,80,Bettembourg,40.1,25.2,24.4,49.6,21.49,9063,9790,421.7,455.6,727,108.0,6177,3613,0.6309,0.3691,2852,1.2668,0.8063,0.0214,0.1722,132.17,2.66,61.85,
11,Bettendorf,120602,49,Bettendorf,37.6,27.3,17.4,44.6,23.24,2314,2489,99.6,107.1,175,107.6,1455,1034,0.5846,0.4154,785,1.3172,0.8000,0.0247,0.1753,144.89,2.84,63.41,
12,Bissen,110402,21,Bissen,36.2,29.9,17.6,47.5,20.75,2447,2784,117.9,134.2,337,113.8,1832,952,0.6580,0.3420,837,1.1374,0.7843,0.0164,0.1994,140.33,2.80,61.70,
13,Biwer,131102,82,Biwer,38.4,25.1,15.7,40.8,23.08,1492,1653,64.6,71.6,161,110.8,1219,434,0.7374,0.2626,379,1.1451,0.7822,0.0318,0.1860,158.75,2.60,74.46,
14,Boevange_sur_Attert,110403,69,Boevange-sur-Attert,37.7,26.0,15.4,41.5,18.87,1760,2037,93.3,107.9,277,115.7,1597,440,0.7840,0.2160,317,1.3880,0.8645,0.0298,0.1057,167.88,2.73,75.55,
15,Boulaide,120901,48,Boulaide,39.7,27.4,21.8,49.2,32.13,734,970,22.8,30.2,236,132.2,743,227,0.7660,0.2340,113,2.0088,0.8191,0.0362,0.1447,142.06,2.44,71.81,
16,Bourscheid,120603,41,Bourscheid,37.5,28.0,17.5,45.5,36.86,1130,1336,30.7,36.2,206,118.2,999,337,0.7478,0.2522,202,1.6683,0.8051,0.0360,0.1589,151.60,2.52,75.79,
17,Bous,131201,54,Bous,37.0,27.0,14.5,41.6,15.43,1091,1403,70.7,90.9,312,128.6,1046,357,0.7455,0.2545,260,1.3731,0.8490,0.0471,0.1039,162.57,2.71,74.70,
18,Burmerange,131202,40,Burmerange,36.5,28.1,12.2,40.3,13.37,906,1020,67.8,76.3,114,112.6,815,205,0.7990,0.2010,172,1.1919,0.9164,0.0149,0.0687,178.16,2.93,76.46,
19,Clemency,110102,39,Clemency,38.2,28.3,18.5,46.7,14.53,2105,2176,144.9,149.8,71,103.4,1671,505,0.7679,0.2321,453,1.1148,0.8472,0.0286,0.1242,159.76,2.66,74.29,
20,Clervaux,120501,107,Clervaux,42.8,22.7,31.9,54.6,25.49,1791,2031,70.3,79.7,240,113.4,1350,681,0.6647,0.3353,549,1.2404,0.6456,0.0309,0.3235,134.20,2.37,68.50,
21,Consdorf,131004,61,Consdorf,38.5,26.7,19.3,46.0,25.72,1745,1823,67.8,70.9,78,104.5,1300,523,0.7131,0.2869,483,1.0828,0.7587,0.0416,0.1997,156.42,2.88,65.81,
22,Consthum,120502,5,Consthum,36.3,34.6,19.0,53.6,14.95,328,493,21.9,33.0,165,150.3,417,76,0.8458,0.1542,41,1.8537,0.8953,0.0349,0.0698,159.72,2.83,69.46,
23,Contern,110303,72,Contern,38.3,25.7,18.9,44.5,20.55,3082,3419,150.0,166.4,337,110.9,2281,1138,0.6672,0.3328,885,1.2859,0.8316,0.0244,0.1440,166.62,2.68,75.63,
24,Dalheim,131203,55,Dalheim,37.8,27.0,16.6,43.6,18.98,1706,1942,89.9,102.3,236,113.8,1355,587,0.6977,0.3023,417,1.4077,0.8801,0.0240,0.0960,158.37,2.78,70.06,
